".","Freq"
"recently",79
"shot",79
"tax",79
"college",78
"control",78
"hand",78
"spring",78
"wish",78
"wont",78
"cause",77
"final",77
"met",77
"near",77
"age",76
"coach",76
"deal",76
"feeling",76
"obama",76
"sweet",76
"tv",76
"worked",76
"d",75
"front",75
"goes",75
"isnt",75
"likely",75
"matter",75
"meet",75
"meeting",75
"offer",75
"provide",75
"takes",75
"available",74
"cool",74
"create",74
"learned",74
"longer",74
"schools",74
"song",74
"continue",73
"dinner",73
"email",73
"father",73
"inside",73
"seeing",73
"six",73
"turned",73
"woman",73
"yesterday",73
"budget",72
"decision",72
"field",72
"guess",72
"major",72
"mother",72
"problems",72
"usually",72
"cleveland",71
"education",71
"film",71
"girls",71
"online",71
"per",71
"report",71
"sense",71
"simple",71
"talking",71
"based",70
"conference",70
"financial",70
"huge",70
"looks",70
"paper",70
"questions",70
"received",70
"sleep",70
"that’s",70
"tried",70
"won",70
"yearold",70
"birthday",69
"building",69
"buy",69
"christmas",69
"cost",69
"fine",69
"middle",69
"possible",69
"press",69
"sent",69
"wonderful",69
"hear",68
"i’ve",68
"knew",68
"perhaps",68
"return",68
"works",68
"card",67
"crazy",67
"david",67
"forget",67
"haha",67
"hell",67
"looked",67
"pick",67
"picture",67
"can’t",66
"chief",66
"drive",66
"due",66
"hate",66
"issues",66
"mom",66
"piece",66
"plans",66
"services",66
"site",66
"strong",66
"teams",66
"wrote",66
"break",65
"challenge",65
"fans",65
"havent",65
"known",65
"lets",65
"page",65
"shes",65
"shows",65
"themselves",65
"wants",65
"billion",64
"form",64
"gonna",64
"hospital",64
"moment",64
"oil",64
"ok",64
"ones",64
"political",64
"rain",64
"record",64
"rock",64
"security",64
"training",64
"trip",64
"entire",63
"focus",63
"moving",63
"seem",63
"son",63
"starting",63
"walk",63
"above",62
"bed",62
"campaign",62
"choice",62
"cover",62
"dog",62
"expected",62
"jersey",62
"price",62
"spent",62
"wednesday",62
"whose",62
"“the",61
"began",61
"character",61
"couldnt",61
"gone",61
"held",61
"hour",61
"husband",61
"loss",61
"loved",61
"low",61
"race",61
"war",61
"attention",60
"brown",60
"chicago",60
"date",60
"expect",60
"finished",60
"hands",60
"interest",60
"media",60
"michael",60
"player",60
"plus",60
"w",60
"band",59
"brought",59
"contact",59
"difficult",59
"dr",59
"earlier",59
"himself",59
"hold",59
"key",59
"welcome",59
"weve",59
"“i",58
"anyway",58
"cannot",58
"definitely",58
"eight",58
"force",58
"itself",58
"jobs",58
"level",58
"mine",58
"practice",58
"simply",58
"spend",58
"wine",58
"act",57
"america",57
"below",57
"cup",57
"happened",57
"human",57
"paid",57
"personal",57
"position",57
"results",57
"save",57
"test",57
"track",57
"understand",57
"air",56
"amount",56
"completely",56
"ended",56
"events",56
"fight",56
"judge",56
"opportunity",56
"present",56
"sale",56
"seemed",56
"similar",56
"stopped",56
"table",56
"b",55
"currently",55
"design",55
"energy",55
"example",55
"giving",55
"goal",55
"higher",55
"include",55
"june",55
"led",55
"miles",55
"note",55
"release",55
"ahead",54
"answer",54
"became",54
"california",54
"council",54
"defense",54
"fast",54
"garden",54
"heat",54
"hotel",54
"international",54
"learning",54
"mark",54
"moved",54
"passed",54
"recipe",54
"sales",54
"sounds",54
"success",54
"waiting",54
"wife",54
"you’re",54
"yourself",54
"beyond",53
"biggest",53
"busy",53
"clean",53
"daughter",53
"development",53
"economy",53
"executive",53
"fan",53
"further",53
"ground",53
"internet",53
"items",53
"original",53
"role",53
"seven",53
"situation",53
"spending",53
"staff",53
"straight",53
"super",53
"united",53
"written",53
"account",52
"alone",52
"base",52
"beach",52
"certain",52
"clear",52
"coffee",52
"despite",52
"died",52
"foot",52
"fresh",52
"funny",52
"increase",52
"kept",52
"result",52
"sister",52
"statement",52
"action",51
"allowed",51
"bank",51
"bar",51
"fear",51
"feet",51
"interested",51
"interesting",51
"louis",51
"lunch",51
"medical",51
"safe",51
"stand",51
"star",51
"stories",51
"style",51
"bottom",50
"cake",50
"certainly",50
"changes",50
"chris",50
"cold",50
"dead",50
"growing",50
"hair",50
"lots",50
"pass",50
"pictures",50
"private",50
"rate",50
"released",50
"spot",50
"student",50
"sun",50
"tweet",50
"voice",50
"born",49
"career",49
"cream",49
"east",49
"extra",49
"facebook",49
"floor",49
"gift",49
"glad",49
"hall",49
"ideas",49
"july",49
"leaders",49
"leaving",49
"normal",49
"parts",49
"photos",49
"runs",49
"shit",49
"sorry",49
"sort",49
"sound",49
"tea",49
"travel",49
"view",49
"vote",49
"yeah",49
"annual",48
"bowl",48
"closed",48
"comment",48
"complete",48
"current",48
"daily",48
"dance",48
"die",48
"economic",48
"fit",48
"industry",48
"james",48
"la",48
"league",48
"letter",48
"named",48
"okay",48
"popular",48
"property",48
"regular",48
"sit",48
"step",48
"throughout",48
"tough",48
"truth",48
"website",48
"worth",48
"album",47
"begin",47
"bought",47
"build",47
"club",47
"credit",47
"dark",47
"doctor",47
"french",47
"helped",47
"land",47
"oregon",47
"paul",47
"projects",47
"romney",47
"scene",47
"sick",47
"speak",47
"square",47
"ways",47
"williams",47
"afternoon",46
"agency",46
"allow",46
"blue",46
"box",46
"built",46
"doesn’t",46
"driving",46
"evening",46
"fair",46
"gold",46
"he’s",46
"includes",46
"member",46
"military",46
"missed",46
"mix",46
"moments",46
"mostly",46
"novel",46
"potential",46
"putting",46
"restaurant",46
"size",46
"stage",46
"starts",46
"subject",46
"union",46
"cancer",45
"damn",45
"drink",45
"employees",45
"exactly",45
"gas",45
"included",45
"luck",45
"pieces",45
"quickly",45
"reports",45
"safety",45
"send",45
"traffic",45
"type",45
